X_Error,Y_Error,Z_Error,Clock_Error
0.05291571978355314,-0.08774647538698135,0.22068564795982082,-0.637566037804109
0.08651602668215486,-0.11030114134842978,0.16671962167044407,-0.5875037059869652
0.11303487818995794,-0.1286037138645882,0.12565240277099854,-0.5561008100694897
0.13330112941778893,-0.14060307617698947,0.0960789963980383,-0.5302682918017535
0.1510399513630747,-0.14663900870841567,0.07753099850371559,-0.5248471581996985
0.1195348735906252,-0.15884089852063846,0.044316890534565556,-0.20990446359912607
0.09634619499975289,-0.16752549771926545,0.021803159954156937,0.016698228718620534
0.0763440681392451,-0.17245342332947594,0.0067498476434521,0.18486003210214347
0.058773771844575884,-0.17507466376553132,-0.0004978266049413538,0.3175229669130066
0.05639955802467761,-0.17738405258637607,-0.052429581769695144,0.23717717616856704
0.05487057241169757,-0.18194699047705065,-0.09331328509919745,0.1842327507793723
0.055874361886343704,-0.18748630061067273,-0.12613069341166033,0.13988660733796812
0.05977509298701744,-0.19691266387223483,-0.15526023191730332,0.1049112470887058
0.046280937972922875,-0.14759021088162905,-0.1204092253538655,0.07333131756217745
0.0363010564814531,-0.11203049637121865,-0.0948818900614341,0.05299574661394413
0.02900290303579467,-0.0830654459921466,-0.0737986505554436,0.038366294750354135
