X_Error,Y_Error,Z_Error,Clock_Error
0.44921162406194304,0.6216260893458818,0.6597511522719952,0.06330651631232678
0.33379851429759955,0.4606452337048118,0.4899941177188853,0.042646861743532646
0.2509894140119591,0.3433243899850049,0.3685871337033444,0.02568825512659029
0.19562775717028422,0.25316417337115604,0.28875601097550485,0.014385825181340298
0.10988211130673035,0.20728269874790306,0.15534650574601191,0.02071436008879502
0.043101800039468896,0.175255283730673,0.05030018716848857,0.028785625459156215
-0.007167157253811646,0.15447682308918087,-0.029203146888991317,0.034874317212058845
-0.04158063211897636,0.14619818970481258,-0.08160505913477142,0.031504673735227015
-0.07464062687506545,0.10183504352289041,-0.14640317559452162,0.0847111233999405
-0.0979189804874677,0.06706975666917103,-0.19368921645688875,0.12203898324607992
-0.11712168704527026,0.042432632254873925,-0.22982440975718527,0.15132908580637988
-0.13637572511029172,0.031496544747538935,-0.26601652806876874,0.18210196846471524
-0.09023767088071227,-0.021790092342403367,-0.2336619672399547,0.09698470302433432
-0.056548080760290054,-0.06407294337037428,-0.2049517086147713,0.029645860741725705
-0.031777936712396926,-0.09571210523989893,-0.1822627228712297,-0.01882430733915441
-0.007297889090774223,-0.11515709935529439,-0.16876765983675368,-0.056994285134723544
-0.05133349028437861,-0.14853230357241343,-0.12701366253785973,-0.08942921042671875
-0.08439689657531413,-0.17309814257189704,-0.09619948193080441,-0.11313176620120458
-0.10744454185468894,-0.19191905153082073,-0.07585773489109271,-0.13039484855377637
-0.12835791038623057,-0.2124115207006208,-0.06107766401394499,-0.14279262351980426
-0.10633852757213813,-0.19789637002085175,-0.017216264000994297,-0.123595738582985
-0.08858049246667199,-0.18403444137202515,0.012484221064939405,-0.10798076950784113
-0.0778917712928675,-0.1713060340944862,0.028316392141222724,-0.09986425764942124
-0.07360299171921691,-0.16531218034458706,0.040998949823350506,-0.09973215874538992
-0.037623134020244975,-0.13805341942573537,0.05570139251556472,-0.051398878188542246
-0.012338266128179565,-0.11738655569853204,0.06528121512169938,-0.0177353460329555
0.006327657255948305,-0.105714828405407,0.07524886722834123,0.00646466326023748
0.4103857389262676,-0.5840781463611321,0.7453583614285957,0.5639232103746671
0.32179748308782746,-0.45413439160898805,0.5809786167172367,0.439782592940606
