wavelet,level,mode,X_Error_p,X_Error_kurt,X_Error_pass,Y_Error_p,Y_Error_kurt,Y_Error_pass,Z_Error_p,Z_Error_kurt,Z_Error_pass,Clock_Error_p,Clock_Error_kurt,Clock_Error_pass,n_gaussian,avg_p,avg_kurt,score
coif2,4,soft,0.698334487789386,-0.028186478046070995,True,0.6552026105062709,-0.1133607017746745,True,0.9851526275686666,0.018430155319938635,True,0.8037598862078108,0.008763875593120751,True,4,0.7856124030180336,0.04218530268345122,4.781393872749688
coif2,5,soft,0.7150709597699298,-0.06939269803387305,True,0.35275723962397026,-0.06915857685273608,True,0.9597952364271713,0.09318647890194276,True,0.4206865941712259,0.1894165872519702,True,4,0.6120775074980743,0.10528858526013052,4.601548648972061
coif2,3,soft,0.21141439229846043,0.04040830558145636,True,0.6129338454218285,-0.30649410432480684,True,0.6836116131521653,-0.12405423639959245,True,0.3464118408310365,-0.1572818448587996,True,4,0.46359292292587273,0.1570596227911638,4.447886960646756
coif3,4,soft,0.33582094206164076,0.13970727507744485,True,0.9004253031205858,0.2018896029522188,True,0.10746604801732418,-0.04396005529966862,True,0.3236637855443527,0.652956297507846,True,4,0.41684401968597584,0.25962830770929457,4.3908811889150465
db6,5,soft,0.5535157510366424,0.2884207549708906,True,0.07440368403792608,0.9001892470225825,True,0.75423961556949,0.44242371631723154,True,0.07347331721365606,0.8438837399948205,True,4,0.36390809196442864,0.6187293645763813,4.302035155506791
sym4,3,soft,0.3250262144853773,0.18318182847251796,True,0.4832273858908235,0.08686572055590602,True,0.05642345524195046,0.23628960583010183,True,0.37896985447610654,0.2989489387012303,True,4,0.31091172752356444,0.20132152338993903,4.29077957518457
sym4,4,soft,0.05760011940287137,0.331521177966263,True,0.3180187187144818,0.17401879428020672,True,0.23287915325287684,0.15066708019781716,True,0.593080515928469,0.3926184577757943,True,4,0.30039462682467477,0.2622063775550203,4.274173989069173
sym4,5,soft,0.07282362294780019,0.15859474711603072,True,0.3542624442155812,0.1100232450960581,True,0.23898466547448027,0.12894189899053288,True,0.4413819566640828,0.43529741029522206,True,4,0.27686317232548613,0.20821432537446094,4.2560417397880395
sym6,4,soft,0.1346589500919937,-0.1416543179347478,True,0.2875181420530518,0.45117574517494985,True,0.5701512001276696,0.5218251845686375,True,0.1527814716516716,0.4666080426552637,True,4,0.2862774409810967,0.3953158225833997,4.246745858722758
coif3,5,soft,0.19578834160088376,0.20948562823448658,True,0.09929003037635409,0.123949591183099,True,0.10853790404271751,-0.16962407346838315,True,0.26548148280572714,0.8110539723367736,True,4,0.16727443970642064,0.3285283163056856,4.134421608075852
